drug_id,toxicity,indication_text
DB09278,"Adverse effects from the treatment include aspiration into the lungs and possibly pneumonitis, black stools, vomiting, and constipation or diarrhea. The oral LD50 value in rats is 15400mg/kg. ",Used as a antidote to treat poisonings following excessive oral ingestion of certain medications or poisons. 
DB09279,,Used for the treatment of hypertension and heart failure [A20319].
DB09280,"In animal reproduction studies, oral administration of lumacaftor to pregnant rats and rabbits during organogenesis demonstrated no teratogenicity or adverse effects on fetal development at doses that produced maternal exposures up to approximately 8 (rats) and 5 (rabbits) times the exposure at the maximum recommended human dose (MRHD). No adverse developmental effects were observed after oral administration of lumacaftor to pregnant rats from organogenesis through lactation at doses that produced maternal exposures approximately 8 and 5 times the exposures at the MRHD, respectively. There are no animal reproduction studies with concomitant administration of lumacaftor and ivacaftor.[L43060]

There have been no reports of overdose with ORKAMBI. The highest repeated dose was lumacaftor 1000 mg once daily/ivacaftor 450 mg q12h administered to 49 healthy subjects for 7 days in a trial evaluating the effect of ORKAMBI on electrocardiograms (ECGs). Adverse events reported at an increased incidence of ≥5% compared to the lumacaftor 600 mg/ivacaftor 250 mg dosing period and placebo included: headache (29%), transaminase increase (18%), and generalized rash (10%). No specific antidote is available for overdose with ORKAMBI. Treatment of overdose consists of general supportive measures including monitoring of vital signs and
observation of the clinical status of the patient.[L43060]

A two-year study in Sprague-Dawley rats and a 26-week study in transgenic Tg.rasH2 mice were conducted to assess the carcinogenic potential of lumacaftor. No evidence of tumorigenicity was observed in rats at lumacaftor oral doses up to 1000 mg/kg/day (approximately 5 and 13 times the MRHD on a lumacaftor AUC basis in males and females, respectively). No evidence of tumorigenicity was observed in Tg.rasH2 mice at lumacaftor oral doses up to 1500 and 2000 mg/kg/day in female and male mice, respectively. Lumacaftor was negative for genotoxicity in the following assays: Ames test for bacterial gene mutation, in vitro chromosomal aberration assay in Chinese hamster ovary cells, and in vivo mouse micronucleus test.[L43060]

Lumacaftor had no effects on fertility and reproductive performance indices in male and female rats at an oral dose of 1000 mg/kg/day (approximately 3 and 8 times, respectively, the MRHD on a lumacaftor AUC basis).[L43060] 

","When used in combination with the drug [lumacaftor] as the product Orkambi, ivacaftor is indicated for the management of CF in patients aged one year and older who are homozygous for the _F508del_ mutation in the CFTR gene. If the patient’s genotype is unknown, an FDA-cleared CF mutation test should be used to detect the presence of the _F508del_ mutation on both alleles of the CFTR gene.[L43060]"
DB09281,Adequate doses of magnesium trisilicate may cause diarrhea due to the action of soluble magnesium salts in the enteric tract.  Approx 5% of the magnesium is absorbed.,"For the treatment of peptic ulcers.
Relieving indigestion and heartburn."
DB09282,,"The indications for use of molsidomine include ischemic heart disease, angina, chronic heart failure, and pulmonary hypertension [L1370, L1371]."
DB09283,,Used in the treatment of chronic stable angina [A19770].
DB09284,"It is reported to present a moderate liver toxicity.[A32048] In preclinical studies, the acute toxicity was analyzed when administered orally and intravenously. The LD50 of imolamine was 650 mg/kg and 250 mg/kg for oral and intravenous administration, respectively.[MSDS]",Imolamine is indicated for the treatment of angina pectoris. The hydrochloride form is used as a local anesthetic.[T83]
DB09285,"As with other anti-inflammatory medications, adverse effects may include: agranulocytosis, bleeding, hepatotoxicity, acute renal failure, dermatoses, and rarely angioedema and urticaria [L1496]. ","
Morniflumate is indicated for the treatment of inflammatory conditions affecting the airways, ENT system, urogenital tract and bone and joint systems in adults. In Italy, morniflumate is also indicated for the treatment of pain associated with ear, nose, throat (ENT) and gastrointestinal inflammatory conditions in children.  Morniflumate is a well established NSAID that has been in use for over three decades in Italy (particularly for the treatment of upper respiratory tract infections in children), France, Belgium, Austria, Switzerland, Spain and Portugal; it has a generally favorable tolerability profile."
DB09286,"Ld50 in rats, 48 mg/kg [L1520].
Prolonged Qtc interval.  Monitoring with regular ECGs is recommended [L1525].  


",Treatment of chronic psychoses and states of aggressiveness of various origins [L1515].
DB09287,"The oral LD<sub>50</sub> of PEG 3350 in rats is 22000 mg/kg.[L11857]

There is limited clinical information on the overdose of polyethylene glycols. Based on the pharmacological action of the compound, severe diarrhea may be suspected. Overdose of polyethylene glycols should be responded with symptomatic and supportive care. ","Polyethylene glycol is indicated for use as an over-the-counter osmotic laxative to relieve occasional constipation.[L11812] When used in combination with sodium ascorbate, sodium sulfate, ascorbic acid, sodium chloride and potassium chloride, it is used for cleansing of the colon in preparation for colonoscopy in adults.[L6421]"
DB09288,The intravenous administration of paracetamol in the form of propacetamol has no effect on fertility. There is no evidence of carcinogenic potential in mice but there is a report in female rats at 0.7 times the maximum clinical exposure where there was a report of mononuclear cell leukemia. There is a potential clastogenic effect at doses of 8 times the maximum anticipated clinical exposure.[L1523],Propacetamol is a paracetamol prodrug of intravenous administration used to control fever and pain of perioperative period in multimodal analgesia therapy.[L1511]
DB09289,"There are several published case reports of tianeptine intoxication and death [L1435]. An overdose of tianeptine can lead to opiod-like effects and lead to respiratory failure and death, due to its direct effect on the _mu_ opioid receptor [L1435].  In addition, cardiotoxicity can result from an overdose of this medication [L1435].",Used primarily in the treatment of major depressive disorder and anxiety [A31969]. It is currently being studied for fibromyalgia pain treatment [L1426].
DB09290,,For the treatment of nausea and vomiting and diarrhea-predominant irritable bowel syndrome in males.
DB09291,"Most common adverse reactions occurring in >3% of patients receiving moderately emetogenic chemotherapy and combinations of anthracycline and cyclophosphamide included decreased appetite, neutropenia, dizziness, dyspepsia, urinary tract infection, stomatitis, and anemia. Most common adverse reactions occurring in patients receiving cisplatin-based highly emetogenic chemotherapy included neutropenia, hiccups, and abdominal pain.",This drug is indicated in adults in combination with other antiemetics for the prevention of delayed nausea and vomiting associated with emetogenic chemotherapy.
DB09292,"The most common adverse reactions (≥5%) are hypotension, hyperkalemia, cough, dizziness, and renal failure. ","Used in combination with valsartan to reduce the risk of cardiovascular events in patients with chronic heart failure (NYHA Class II-IV) and reduced ejection fraction.  It is usually administered in conjunction with other heart failure therapies, in place of an ACE inhibitor or other ARB.

It is also used in combination with [valsartan].[L36445]"
DB09293,"Adverse reactions that have been reported with doses of sodium iodide I-131 used in the treatment of benign disease include sialadenitis, chest pain, tachycardia, iododerma, itching skin, rash, hives, hypothyroidism, hyperthyroidism, thyrotoxic crisis, hypoparathyroidism, and local swelling. 
Adverse reactions that have been reported with doses of sodium iodide I-131 used in the treatment of malignant disease include radiation sickness, bone marrow depression, anemia, leucopenia, thrombocytopenia, blood dyscrasia, leukemia, solid cancers, lacrimal gland dysfunction, salivary gland dysfunction, congenital hypothyroidism, chromosomal abnormalities, cerebral edema, radiation pneumonitis, and pulmonary fibrosis.",Therapeutic solutions of Sodium Iodide-131 are indicated for the treatment of hyperthyroidism and thyroid carcinomas that take up iodine.  Palliative effects may be observed in patients with advanced thyroid malignancy if the metastatic lesions take up iodine.  It is also indicated for use in performance of the radioactive iodide (RAI) uptake test to evaluate thyroid function.
DB09295,LD50 orally in rats: 12000 mg/kg [L1410],"Talnifumate is a phthalidyl ester of nifumic acid, which has potent analgesic and anti-inflammatory effects and is widely used to treat inflammatory disorders, such as rheumatoid arthritis and osteoarthritis [L1409], and has also been studied for the management of cystic fibrosis [L1403]."
DB09296,"The most common adverse effects of Viekira Pak either in combination with or without [DB00811] were pruritus, nausea, insomnia, and asthenia [FDA Label]. The most common adverse effects of Technivie with or without [DB00811] were asthenia, fatigue, nausea, insomnia and pruritus [L866].","When used in combination with [DB09297] and [DB00503] (as the fixed dose product Technivie), Ombitasvir is indicated in combination with [DB00811] for the treatment of patients with genotype 4 chronic hepatitis C virus (HCV) infection without cirrhosis [L866].

When used in combination with [DB09297], [DB00503], and [DB09183] (as the fixed dose product Viekira Pak), Ombitasvir is indicated for the treatment of HCV genotype 1b and ,when combined with [DB00811], for the treatment of HCV genotype 1a [FDA Label]"
DB09297,,"When used within the fixed-dose combination product with [DB09296], [DB09183], and [DB00503] as the FDA-approved product Viekira Pak, paritaprevir is indicated for the treatment of HCV genotype 1b without cirrhosis or with compensated cirrhosis, and when combined with [DB00811] for the treatment of HCV genotype 1a without cirrhosis or with compensated cirrhosis.

When used within the fixed-dose combination product with [DB09296] and [DB00503] as the FDA- and Health Canada-approved product Technivie, paritaprevir is indicated in combination with [DB00811] for the treatment of patients with genotype 4 chronic hepatitis C virus (HCV) infection without cirrhosis or with compensated cirrhosis.

When used within the fixed-dose combination product with [DB09296], [DB09183], and [DB00503] as the Health Canada-approved, commercially available product Holkira Pak, paritaprevir is indicated for the treatment of HCV genotype 1b with or without cirrhosis, and when combined with [DB00811] for the treatment of HCV genotype 1a with or without cirrhosis."
DB09298,,"Currently being tested as a treatment of severe intoxications with hepatotoxic substances, such as death cap (Amanita phalloides) poisoning."
DB09299,"The LD<sub>50</sub> of tenofovir alafenamide has not been reported. In cases of overdose, continuous monitoring of vital signs is required as the adverse effects in high doses has not been evaluated. However, in case of overdose, tenofovir is efficiently removed by hemodialysis with an extraction coefficient of 54%.[L6286]

Carcinogenic reports have only been performed with [tenofovir disoproxil] and it is important to consider that tenofovir alafenamide does not present a high systemic exposure. However, long-term exposure with 10-fold dosages of tenofovir disoproxil was reported to produce liver adenomas in females. Tenofovir alafenamide was not reported to present mutagenic potential and it did not present effects on fertility.[L6286]","Tenofovir alafenamide is indicated for the treatment of hepatitis B virus infection in adults and pediatric patients 12 years of age and older with compensated liver disease.[L43582]

In combination with [emtricitabine] and other antiretrovirals, it is indicated for the treatment of HIV-1 infection in adolescent and adult patients with a weight higher than 35 kg.[L4388] This combination is also indicated to prevent HIV-1 infections in high-risk adolescent and adult patients, excluding patients at risk from receptive vaginal sex.[L4388,L9010] When combined with antiretrovirals other than protease inhibitors that require a CYP3A inhibitor, it can be used to treat pediatric patients weighing 25-35 kg.[L4388]

In the combination product with emtricitabine and [bictegravir], tenofovir alafenamide is considered a complete treatment regimen for HIV-1 infections for treatment-naive patients or patients virologically suppressed for at least three months with no history of treatment failure.[L6277,L38944,L44226] This combination product is also used to replace the current antiretroviral regimen in those who are virologically-suppressed (HIV-1 RNA less than 50 copies per mL) on a stable antiretroviral regimen with no known or suspected substitutions associated with resistance to bictegravir or tenofovir.[L50522, L53758]

Additionally, the combination product including [elvitegravir], [cobicistat], emtricitabine and tenofovir alafenamide and the combination product including emtricitabine, [rilpivirine] and tenofovir alafenamide can be used in the treatment of HIV-1 infection in patients older than 12 years with no previous antiretroviral therapy history or who are virologically suppressed for at least 6 months with no history of treatment failure.[L6280]

The combination product including [darunavir], cobicistat, emtricitabine, and tenofovir alafenamide is indicated for the treatment of HIV-1 infection in adults without prior antiretroviral therapy or in patients virologically suppressed for 6 months and no reported resistance to darunavir or tenofovir.[L6283]"
DB09300,,Used to treat abdmoninal cramping and pain [FDA Label].
DB09301,"Chondroitin sulfate does not present a carcinogenic potential.[L1527] On tolerability assays, it has been shown to present great safety and good tolerability without significant severe side effects.[A32066]","Chondroitin sulfate, used with glucosamine, is indicated to alleviate pain and inflammation from primary osteoarthritis.[L1527] This supplement is reported to improve joint function and slow disease progression.[L1528] Osteoarthritis is characterized by progressive structural and metabolic changes in joint tissues, mainly cartilage degradation, subchondral bone sclerosis and inflammation of synovial membrane.[A32066]

Studies have proposed the potential use of chondroitin sulfate as a nutraceutical in dietary supplements.[A32065]

"
DB09302,,"Alirocumab is indicated to reduce the risk of myocardial infarction, stroke, and unstable angina requiring hospitalization in adults with established cardiovascular disease.[L50637] It is also indicated as an adjunct to diet - alone or in combination with other low-density lipoprotein cholesterol (LDL-C)-lowering therapies - to reduce LDL-C in adults with primary hyperlipidemia (including heterozygous familial hypercholesterolemia (HeFH)), adults with homozygous familial hypercholesterolemia (HoFH), and pediatric patients ≥8 years of age with HeFH.[L50637]"
DB09303,,"Evolocumab is indicated in adult patients at risk of major adverse cardiovascular events (MACE) to reduce the risk of myocardial infarction, stroke, cardiovascular death, unstable angina requiring hospitalization and coronary revascularization.[L53763] It is also indicated as an adjunct to diet, alone or in combination with other hypolipidemic treatments, in adults with primary hyperlipidemia (and in pediatric patients ≥10 years old with heterozygous familial hypercholesterolemia) to reduce LDL-C.[L53763] In addition, it is indicated adjunctly to other hypolipidemic treatments in patients ≥10 years old with homozygous familiar hypercholesterolemia to reduce LDL-C.[L53763]"
DB09304,,For the treatment of depression [A19792].
DB09305,,Investigated for the treatment of depression.
DB09306,,Investigated for the treatment of depression.
DB09307,,Investigated for the treatment of depression.
DB09308,,Investigated for the treatment of community-acquired pneumonia (CAP).
DB09309,,
DB09310,"The most common adverse reactions reported in clinical trials (≥1%), were headache, pain in the extremities, injection site pain, and increase in fibrin D dimer levels. Due to the anti-clotting activity of this medication, thromboembolic complications may occur with its usage. ",For routine prophylaxis of bleeding in patients with congenital factor XIII A-Subunit deficiency.
DB09311,The LD50 of calcium polycarbophil in young adult rats approximated 20 g/kg.,Polycarbophil is used to treat constipation and to help maintain regular bowel movements.
DB09312,"The most commonly reported adverse reactions (occurring in greater than 10% of patients) are pyrexia, chills, rash, thrombocytopenia, leukopenia and arthralgia. ",For prevention of renal transplant rejection and for the treatment of aplastic anemia.
DB09313,"Adverse reactions after administration of iodinated contrast agents may be worsened in patients displaying agitation, anxiety, and pain. Appropriate management, such as sedation, may be required before the procedure [L1883]. Adequate hydration and normal electrolyte balance must be ensured, especially in elderly patients, infants, small children, patients with renal damage (oliguria, polyuria) or hyperuricemia, multiple myeloma, patients diagnosed with plasmacytoma or diabetes mellitus, particularly if it is longstanding [L1883].

As this drug is a contrast agent, it may cause minor or major reactions that may be serious or lethal [L1883]. They may be rapid (within 60 minutes) or delayed (up to 1 week) [L1883].

Emergency measures must be immediately available in high risk individuals, especially in patients taking B-blockers in whom adrenaline and vascular perfusion would not be effective [L1883].

There are several conditions in which caution must be observed while administering this contrast drug [L1883]:

**Renal Disease/Hepatic Disease**


Particular attention is required if the patient has both hepatic and renal failure, which increases the risk of contrast agent retention [L1883].


**Cardiovascular Disease**
In patients with manifest or incipient heart failure, coronary disease, pulmonary hypertension, or valvular heart disease, the risks of pulmonary edema, myocardial ischemia and arrhythmia and severe hemodynamic disturbances is heightened after the administration of an iodinated contrast agent.
    
Cases of Torsade de Pointes have been identified in patients using sodium and meglumine ioxaglate, therefore loxaglic acid should be administered very carefully to patients who have/may develop prolongation of QTc, including patients taking other medicines that contribute to cardiovascular QT prolongation [L1883].


**Pheochromocytoma Patients**

Patients with phaeochromocytoma may suddenly develop hypertension after intravascular administration of a contrast agent, which may require appropriate management before the examination [L1883]

**Thyroid Disease**

Following injection of iodinated contrast agent, specifically in patients with goiter or a history of hypothyroidism, there is a risk of either an episode of hyperthyroidism or induction of a new episode of hypothyroidism. 

There is also a risk of hypothyroidism in newborns who have received, or whose mother has received, an iodinated contrast agent.
 
Screening for hypothyroidism should be performed routinely after administration of the product to newborns and judiciously to premature babies by assaying TSH and possibly free T4, 7-10 days and 1 month after iodine overload [L1883].


**Asthma**

Asthma should be controlled before injecting the iodinated contrast agent [L1883].

Particular attention is required if the asthmatic attack has occurred within eight days prior to administration of loxagic acid, because of the increased risk for bronchospasm.

**Myasthenia gravis**

Administration of a contrast agent may exacerbate the symptoms of myasthenia gravis [L1883].


**Use in pregnancy**

In the patient screening and with appropriate tests, it is advisable to identify possible pregnancy in women of childbearing age. Exposure of the female genital tract to x-rays warrants careful evaluation of the benefit-to-risk ratio [L1883].","This medicinal product is for diagnostic use only in adults and children as a low-osmolality medium [L1883], [A7924]. "
DB09314,,"Sodium Pertechnetate Tc99m Injection is indicated for use in adults for imaging in the following tissues: thyroid, salivary gland,  urinary bladder (for detection of vesico-ureteral reflux), and nasolacrimal drainage system (dacryoscintigraphy). It is indicated for use in children for imaging the following tissues: thyroid and urinary bladder. 
"
DB09315,,Inhalation of Xenon Xe 133 Gas has proved valuable for the evaluation of pulmonary function and for imaging the lungs. It may also be applied to assessment of cerebral flow. 
DB09316," LD50 (mouse): 24 mg/kg.
 Minimum lethal dose (Human): 8 mg/kg.
Thallium inhibits enzymes, but nothing is really known of a biochemical lesion. In fatal cases, there usually is extensive peripheral paralysis and cardiovascular involvement. The immediate cause of death may be peripheral respiratory failure of cardiac arrest.","For use as a diagnostic radiopharmaceutical.
It is indicated to help diagnose heart disease (eg, coronary artery disease, heart attack). It is also used for the diagnosis of parathyroid problems. "
DB09317,,For the treatment of moderate to severe vasomotor symptoms due to menopause and for treatment of moderate to severe symptoms of vulvar and vaginal atrophy due to menopause.
DB09318,,"For the treatment of moderate to severe vasomotor symptoms due to menopause and for the treatment of moderate to severe vaginal dryness, pain with intercourse, and symptoms of vulvar and vaginal atrophy due to menopause."
DB09319,,"For the treatment of acute and chronic infections of the upper and lower urinary tract and in asymptomatic bacteriuria (due to susceptible strains Escherichia coli, Proteus mirabilis, Morganella morganii, Providencia rettgeri, Proteus vulgaris, Pseudomonas, Enterobacter, and Enterococci.). Also indicated in the treatment of prostatitis (due to susceptible strains Escherichia coli Enterococcus (S. faecalis), Proteus mirabilis Enterobacter sp.)."
DB09320,"Procaine benzylpenicillin is associated with the pain at the injection site, blood clotting problems, and seizures. Treatment targeted against syphilis is often associated with Jarisch-Herxheimer reaction. The main unwanted effects are hypersensitivity reactions caused by the degradation products of penicillin, which combine with host protein and become antigenic. Other common adverse effects include skin rashes, fever and delayed serum sickness. Rare but fatal anaphylactic shock may occur. Oral LD50 values in mouse and rat are > 2000 mg/kg. Overdosage can cause convulsions, paralysis and even death. Emesis and gastric lavage may be of value if begun within a few hours of injection. Excessive blood concentrations can be lowered by haemodialysis [L783].","For the treatment of a number of bacterial infections such as syphilis, anthrax, mouth infections, pneumonia and diphtheria. "
DB09321,Acute oral toxicity (LD<sub>50</sub>) in mice: 7950 mg/kg.[L326] The acute respiratory LD<sub>50</sub> in mice is 2500 mg/m<sup>3</sup>.[L326],"For adjunctive treatment of diaper dermatitis. Also, it can be used to treat minor skin irritations (eg, cuts, burns, and scrapes, poison ivy).
Zinc oxide can be used in ointments, creams, and lotions to protect against sunburn and other damage to the skin caused by ultraviolet light."
DB09322,"Human : TDLo ( Oral) 45mg/kg/7D-C  : Normocytic anemia, pulse rate increase without fall inBP
Human: TDLo (oral) 106mg/kg : Hypermotylity, diarrhea
Mouse ; LD50 Oral : 245mg/kg 
Mouse : LD50 : subcutaneous : 781mg/kg","This medication is a mineral used to treat or prevent low levels of zinc alone and together with oral rehydration therapy (ORT). It is also used as a topical astringent. Zinc Sulfate Injection, USP is indicated for use as a supplement to intravenous solutions given for TPN. "
DB09324,"The oral LD<sub>50</sub> of sulbactam sodium is >4000 mg/kg in rats and >10,000 mg/kg in mice. The intravenous LD<sub>50</sub> of sulbactam sodium is 4582 mg/kg in rats and 3604 mg/kg in mice.[L50136]

There is no information on the clinical signs and symptoms associated with a sulbactam overdose. Neurological adverse reactions, including convulsions, may occur. While sulbactam is removable by hemodialysis, there is limited clinical information regarding the use of hemodialysis to treat overdosage.[L47336]","Sulbactam is used in combination with other antibacterial agents. With [ampicillin], it is used to treat skin and skin structure infections, intra-abdominal infections, and gynecological infections caused by susceptible bacteria.[L50131]

In combination with [durlobactam], sulbactam is indicated in adults for the treatment of hospital-acquired bacterial pneumonia and ventilator-associated bacterial pneumonia (HABP/VABP), caused by susceptible isolates of _Acinetobacter baumannii-calcoaceticus_ complex.[L47336]"
DB09325,"The oral LD50 of sodium fluoride is 44 mg/kg in mice and 31 mg/kg in rats. The oral LD50 of sodium fluoride in rabbits is 200 mg/kg.[L7679]

Overdose information

The ingestion of toothpaste is the major cause of sodium fluoride overdose. This is followed by sodium fluoride supplements and mouth rinses. Most causes of sodium fluoride toxicity have been observed in children under the age of 6 years old.[A181670] The manifestations of a sodium fluoride overdose may include gastrointestinal disturbance, abdominal pain, alterations in taste, seizures, salivation, bradycardia, tachycardia, headache, tremor, and shallow breathing.[L7676] Gastrointestinal bleeding may also occur in addition to a sensation of burning in the mouth.[L7670]  Hypotension, bronchospasm, fixed mydriasis, and elevated potassium can also occur which, in turn, may lead to arrhythmias and cardiac arrest.[A181670] 

Management 

If a dose greater than 5 mg fluoride per kilogram of body weight (2.3 mg fluoride per pound of body weight) has been taken, it is advisable to induce vomiting. Administer calcium in an oral, soluble form (for example, 5% calcium gluconate, a solution of calcium lactate, or milk). The patient should seek immediate medical attention. If a sodium fluoride ingestion of 15 mg fluoride/kg of body weight or more occurs (i.e. higher than 6.9 mg fluoride per pound), immediately induce vomiting, provide supportive care, and admit the patient to the hospital for observation.[L7670]","Sodium fluoride in the oral or topical form is indicated for the prevention and control of dental caries and for the maintenance of dental health.[A181652,L7670]  Fluoride supplements in the form of tablets and other formulas may be prescribed to prevent tooth decay in high-risk children aged 6 months to 16 years old whose drinking water source contains low fluoride concentrations.[L7691]"
DB09326,Data not available. ,For diagnostic Positron Emission Tomography (PET) imaging of the myocardium under rest or pharmacologic stress conditions to evaluate myocardial perfusion in patients with suspected or existing coronary artery disease.
DB09327,High doses of tegafur are reported to present unique central nervous system toxicity. The oral administration of tegafur has been reported to present toxicity but the usage of the combo product tegafur/uracil have presented higher levels of 5-fluorouracil without the toxic effects or oral tegafur.[L1565],Tegafur-uracil is indicated for the first line treatment of metastatic colorectal cancer with concomitant administration of calcium folinate.[L934] Colorectal cancer is the third most diagnosed cancer and 30% of the cases can present the metastatic state.[A32077]
DB09328,"The safety phosphatidyl serine conjugated to omega-3 (PS-Omega-3) is supported by several pre-clinical studies. Multiple dose safety studies in rats and dogs showed that oral administration of PS-Omega-3 at doses up to 1000 mg/kg/day for up to 6 months was without any significant effects. Teratogenicity studies in rats demonstrate that when given at doses up to 200 mg/kg/day and in rabbits at doses up to 450 mg/kg/ day, Ps Omega-3 (the main component of this medical food) did not affect embryonic and fetal development. The mutagenic potential of PS-Omega-3 was investigated in several cell types and revealed no significant findings. In a micronucleus test, PS-Omega-3 was given to mice at total dosages of 30, 150 and 300 mg/kg in two equal doses separated by 24 hours. The results of the study did not demonstrate any evidence of mutagenic properties or incidence of bone marrow toxicity [L1506].

In rats, Ld50 was greater than 5 mg/Kg for PS [L1506, L1508].","ADHD in children,  hypertriglyceridemia [L1502, L1503]."
DB09329,"Common adverse reactions reported in ≥1% of subjects in the clinical studies were headache and nausea [FDA label.

In clinical trials, there are no data with Adynovate use in pregnant women to inform a drug- associated risk. Animal reproduction studies have not been conducted with Adynovate. It is unknown whether Adynovate can cause fetal harm when administered to a pregnant woman or can affect reproduction capacity. Adynovate should be given to a pregnant woman only if clearly needed [FDA label].","For the management of hemophilia A (congenital factor VIII deficiency) [FDA label], [A32064].
This medication is a human antihemophilic factor indicated in adolescent and adult patients (12 years and older) with hemophilia A (congenital factor VIII deficiency). It is also used for on-demand treatment and control of bleeding and routine prophylaxis of bleeding episodes. It is not indicated for the treatment of von Willebrand disease [FDA label]."
DB09330,"Across clinical trials, interstitial lung disease (ILD)/pneumonitis occurred in 3.7% of treated patients with 0.3% of these being fatal. There is also a change of QTc interval prolongation; electrocardiogram and electrolytes should be monitored in patients with a history or predisposition for QTc prolongation. Cardiomyopathy occurred in 3% of patients, therefore left ventricular ejection fraction (LVEF) should be measured at baseline and during treatment. Osimertinib can cause embryo-fetal toxicity, requiring female patients to take effective birth control during therapy and for 6 weeks after final dose.[L43453]","Osimertinib is indicated for the: 

- Adjuvant treatment of non-small cell lung cancer (NSCLC) after tumour resection in adult patients whose tumours have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 L858R mutations, as detected by an FDA-approved test.[L50492]
- First-line treatment of adult patients with metastatic NSCLC whose tumours have EGFR exon 19 deletions or exon 21 L858R mutations.[L50492]
- In combination with [pemetrexed] and platinum-based chemotherapy for the first-line treatment of adult patients with locally advanced or metastatic NSCLC whose tumours have EGFR exon 19 deletions or exon 21 L858R mutations, as detected by an FDA-approved test.[L50492]
- Treatment of adult patients with metastatic EGFR T790M mutation-positive NSCLC, as detected by an FDA-approved test, whose disease has progressed on or after EGFR tyrosine kinase inhibitor (TKI) therapy.[L50492]
- Treatment of adult patients with locally advanced, unresectable (stage III) NSCLC whose disease has not progressed during or following concurrent or sequential platinum-based chemoradiation therapy and whose tumors have EGFR exon 19 deletions or exon 21 L858R mutations, as detected by an FDA-approved test"
DB09331,"Data regarding overdoses of daratumumab are not readily available.[L13290,L13296] Patients should be treated with symptomatic and supportive measures.[L13290,L13296]","Daratumumab is indicated as an intravenous injection, alone or in combination with other medications, for the treatment of multiple myeloma.[L13290]

Daratumumab is also approved for subcutaneous administration in combination with hyaluronidase (human recombinant) for the treatment of adults with multiple myeloma (as monotherapy or in combination), light chain (AL) amyloidosis (in combination), and high-risk smoldering multiple myeloma (as monotherapy).[L13296,L52535,L54658]"""
DB09332,"This medication has been associated with increased risk of kernicterus and hemolytic anemia in premature infants [L1562].  It is not advisable to administer this medication in newborns and those with G6PD, due to free radical cycling by this medication. This increases risk of free radical damage to the liver and hemolytic anemia [L1570].","Anticoagulant-induced prothrombin deficiency caused by coumadin or indanedione derivatives,
prophylaxis and therapy of hemorrhagic disease of the newborn, hypoprothrombinemia due to antibacterial therapy,
hypoprothrombinemia secondary to factors limiting absorption or synthesis of vitamin K (for example, obstructive jaundice, biliary fistula, sprue, ulcerative colitis, celiac disease, intestinal resection, cystic fibrosis of the pancreas, and regional enteritis, other drug-induced hypoprothrombinemia where it is definitely shown that the result is due to interference with vitamin K metabolism) [L1545, L1546]."
DB09333,Iopodic acid is cathegorized as one of the top 10 linked to skin reactions.[T85],"Iopodic acid is available as a cholecystographic agent. This denomination indicates the iopodic acid is a radiopaque substance that can be used to visualize the gallbladder and biliary channels in abdominal X-ray.[L1587, A32087] An abdominal X-ray uses a minimal amount of ionizing radiation to produce pictures of the inside of the abdominal cavity. It is commonly used to evaluate the stomach, liver, intestines, and spleen.[L1589]

Iopodic acid has also been indicated for the treatment of hyperthyroidism such as Graves disease.[A32085, A32086] Hyperthyroidism refers to any condition where there is too much thyroid hormone produced in the body (overactive thyroid). When the overactivity involves the entire thyroid gland, it is known as Grave's disease.[L1590]"
DB09334,,
DB09335,,
DB09336,"Long-term preclinical studies to determine the carcinogenic, mutagenic or fertility effect have not been studied.[FDA label]","Tc-99m nm is one of the technetium-labeled antibodies and it is indicated for the detection of small-cell lung cancer.[L1146] The small cell lung cancer is a syndrome characterized by the abnormal and uncontrolled cell growth and it is characterized by a shorter doubling time, higher growth fraction and earlier development of metastases.[L1651]"
DB09337,,For use as a source of clean air [FDA Label].
DB09338,"Stomatitis, gastric disturbance, vertigo, febrile reactions, skin eruptions, and irritation may occur with overdose. Thrombocytopenia, neutropenia, and agranulocytosis. Intravenous administration may cause severe hypotension and cardiac arrhythmias, which has been followed by sudden death [L1579].

Mercury mainly affects the nervous system. Exposure to high levels of metallic, inorganic, or organic mercury can permanently damage the brain, kidneys, and developing fetus. Effects on brain functioning may result in irritability, shyness, tremors, changes in vision or hearing, and memory problems. Acrodynia, a type of mercury poisoning in children, is characterized by pain and pink discoloration of the hands and feet. Mercury poisoning can also cause Hunter-Russell syndrome and Minamata disease [L1582].","Elevated blood pressure, edema [L1577, L1585]."
DB09339,,
