food_interaction_id,food_interaction
F753,Avoid alcohol. Consuming alcohol may increase the risk of hepatotoxicity.
F754,"Take with or without food. A high-fat and high-calorie meal delays Tmax and decreases Cmax and AUC, but not to a clinically significant extent."
F755,"Avoid grapefruit products. Grapefruit inhibits the metabolism of cobimetinib through the CYP3A4 pathway and, therefore, may increase serum levels of cobimetinib."
F756,"Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce serum levels of cobimetinib."
F757,Take with or without food. Cobimetinib bioavailability is unaffected by food.
F758,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum levels of vandetanib."
F759,"Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum levels of vandetanib."
F760,Avoid grapefruit products. Dose adjustment may be necessary if taking grapefruit products or other CYP3A4 inhibitors.
F761,"Avoid St. John's Wort. This may induce the CYP3A4 metabolism of pimavanserin, which may cause reduced efficacy."
F762,"Avoid St. John's Wort. It may induce the CYP3A4 metabolism of dexlansoprazole, possibly leading to reduced efficacy."
F763,Take with or without food. Dexlansoprazole's dual delayed release formulation allows it to be taken without regard to food in contrast to other PPIs.
F764,"Avoid goitrogenic foods. These include soy, cassava, cabbage, broccoli, cauliflower, and other cruciferous vegetables."
F765,Avoid grapefruit products. Grapefruit-containing products may inhibit the CYP3A4 activity responsible for palovarotene metabolism.
F766,Avoid St. John's Wort. The significant induction of CYP3A4 metabolism caused by St. John's wort may decrease the effectiveness of palovarotene.
F767,Take with food. Co-administration with food increases the oral absorption of palovarotene.
F768,"Take on an empty stomach. Take drug after an overnight fast, 30 minutes before food. Food decreases drug exposure."
F769,Take with or without food. Grapefruit may decrease mavorixafor metabolism and increase the risk of drug adverse reactions.
F770,Avoid St. John's Wort. St. John's Wort will decrease levels of this medication.
F771,Avoid excessive or chronic alcohol consumption. Alcohol may increase the risk of liver injury.
F772,"Avoid alcohol. Taking Brivaracetam with alcohol may increase alcohol's effects on attention, memory, and psychomotor functioning."
F773,"Avoid excessive or chronic alcohol consumption. Concomitant alcohol consumption may result in a disulfiram-like reaction characterized by rash, flushing, peripheral edema, nausea, and headache. These symptoms typically subside within hours."
F774,"Take with or without food. In healthy subjects administered a single 600 mg oral dose of levoketoconazole, a high-fat meal increased the AUC by 30% with no change in the maximum plasma concentration but a delay to reach this value of between two and four hours. These changes are not considered clinically significant."
F775,"Avoid St. John's Wort. Apremilast is a CYP3A substrate; therefore, co-administration with St. John's wort, a CYP3A inducer, may reduce the serum level of apremilast."
F776,"Avoid grapefruit products. Trastuzumab emtansine undergoes metabolism through CYP3A4 therefore coadministration with grapefruit, a CYP3A4 inhibitor, may increase serum levels of trastuzumab emtansine."
F777,Exercise caution with St. John's Wort. This herb induces CYP3A4 and may increase the serum levels of abiraterone.
F778,"Take on an empty stomach. Food increases Cmax and AUC. Take ZYTIGA , a product of abiraterone, at least 1 hour before or 2 hours after eating as food may increase exposure to abiraterone by 4-fold."
F779,"Take with or without food. Food increases Cmax and AUC. YONSA, a product of abiraterone, can be taken with or without food."
F780,"Avoid excessive or chronic alcohol consumption. Given the primary central nervous system effects of cariprazine, cariprazine should be used with caution in combination with alcohol."
F781,Avoid grapefruit products. Grapefruit is a known CYP3A4 inhibitor. It may increase drug levels and elevate the risk of drug adverse effects.
F782,Avoid St. John's Wort. St John’s Wort is a known CYP3A4 inducer. It may significantly decrease drug exposure and alter drug efficacy.
F783,"Take with or without food. A high-fat, high-calorie meal may delay Tmax, but food generally has no significant effect on drug exposure."
F784,Take with or without food. Food decreases Cmax of trofinetide but has negligible effects on total drug exposure.
F785,"Avoid grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of lumateperone, which may increase its serum concentration."
F786,"Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of lumateperone, causing a reduction in its serum concentration."
F787,Take with food. Administration with food reduces the Cmax by 33% and prolongs the Tmax by one hour.
F788,Avoid alcohol. Alcohol may increase somnolence and sedation.
F789,"Take with or without food. Food delays drug absorption, but not to a significant extent."
F790,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of romidepsin."
F791,"Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce serum levels of romidepsin."
F792,"Avoid St. John's Wort. St. John's wort is an inducer of CYP3A4 enzymes, which may result in reduced exposure and therapeutic efficacy when co-administered with atrasentan."
F793,Take with or without food. No clinically significant differences in atrasentan pharmacokinetics are observed when it is administered with a meal.
F794,Take with food. Food can increase the absorption of rufinamide.
F795,"Avoid alcohol. Due to the additive pharmacological effect, the concomitant use with alcohol increases the risk for central nervous system depression, respiratory depression, profound sedation, coma, and death."
F796,"Take with or without food. A high-fat, high-calorie meal increases absorption, but not to a clinically significant extent."
F797,Take with food. A moderate fat or calorie meal decreases drug exposure as well as the risk of adverse effects.
F798,"Avoid multivalent ions. Polyvalent cations in food or supplements will be chelated by eltrombopag; therefore, they should be separated by 4 hours before or 2 hours after taking eltrombopag."
F799,Take on an empty stomach. Separate the administration of eltrombopag from food by at least 1 hour before and 2 hours after eating.
F800,Avoid excessive or chronic alcohol consumption. This may increase the risk of developing osmotic demyelination syndrome.
F801,"Avoid grapefruit products. Grapefruit inhibits the CYP3A metabolism of tolvaptan, which may increase its serum concentration."
F802,Avoid St. John's Wort. This herb induces the CYP3A metabolism of tolvaptan and may reduce its serum concentration.
F803,Avoid caffeine. Do not consume caffeine for at least 12 hours before the administration of regadenoson as caffeine can reduce the ability to detect ischemic changes.
F804,Take separate from meals. Do not have food or water for 10 minutes after administration.
F805,Take with or without food. Food does not affect the rate and extent of absorption.
F806,Avoid St. John's Wort. Co-administration will decrease levels of this medication.
F807,Take with food. Rivaroxaban 15-20mg dose should be taken with food as food significantly impacts the bioavailability at that dose.
F808,Take with or without food. Rivaroxaban 10mg dose can be taken with or without food as it does not significantly impact the bioavailability at that dose.
F809,"Take with or without food. High-fat food increases the AUC by 30% and Cmax by 50% and delays Tmax by 30 min, but this is unlikely of clinical relevance."
F810,Avoid St. John's Wort. Co-administration with St. John's wort decreases serum levels of maribavir and may decrease its therapeutic efficacy.
F811,Take with or without food. The co-administration of food with maribavir does not significantly affect its disposition.
F812,Avoid excessive or chronic alcohol consumption. Substantial alcohol consumption (e.g. >3 units) in combination with avanafil may increase the risk of hypotension.
F813,"Take with or without food. High-fat meals slow absorption, but not to a clinically significant extent."
F814,"Take with or without food. High-fat meals may reduce the Cmax and AUC by 38% and 21%, respectively; however, the clinical significance of this is unknown."
F815,Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the CNS depressive effects of ziconotide.
F816,"Avoid grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of temsirolimus, which may increase its serum concentration."
F817,Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of temsirolimus and may reduce its serum concentration.
F818,Avoid alcohol. Amisulpride may enhance the effects of alcohol.
F819,"Take with or without food. A high fat meal does not significantly affect drug pharmacokinetics, although a carbohydrate rich meal decreases drug absorption and levels."
F820,Avoid excessive or chronic alcohol consumption. Binge drinking or drinking alcohol often may predispose patients to ketoacidosis.
F821,Take with food. Food increases total drug exposure.
F822,Take with food. Take with food to reduce nausea and vomiting.
F823,Administer calcium supplement. If calcium intake from food is inadequate administer calcium supplements to prevent hypocalcemia.
F824,"Administer vitamin supplements. If dietary intake of vitamin D is inadequate, then administer vitamin D supplements to avoid deficiency of vitamin D and calcium."
F825,Take with or without food. Taking bazedoxifene with food may increase its AUC by 25% but does not impact the Cmax.
F826,"Avoid antacids. Specifically, avoid magnesium-containing antacids as co-administration with doxercalciferol increases the risk of hypermagnesemia."
F827,"Exercise caution with grapefruit products. Armodafinil is partially metabolized by CYP3A4, and grapefruit is a CYP3A4 inhibitor."
F828,"Exercise caution with St. John's Wort. Armodafinil is partially metabolized by CYP3A4, and St. John's Wort is a CYP3A4 inducer."
F829,Take with or without food. Taking armodafinil with food can delay the Tmax by 2-4 hours.
F830,"Avoid grapefruit products. Grapefruit inhibits the CYP3A metabolism of etravirine, which may increase its serum concentration."
F831,Avoid St. John's Wort. This herb induces the CYP3A metabolism of etravirine and may reduce its serum concentration.
F832,Take after a meal. Take after meals. This increases the bioavailability of etravirine.
F833,Avoid grapefruit products. Co-administration with strong or moderate CYP3A inhibitors is contraindicated; avoid consuming grapefruit or Seville oranges.
F834,"Take with food. Administration with food is recommended to reduce gastrointestinal adverse reactions. However, co-administration with food does affect lonafarnib absorption."
F835,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of pazopanib."
F836,"Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of pazopanib."
F837,Take on an empty stomach. Separate pazopanib from meals by at least 1 hour before and 2 hours after eating as food increases pazopanib bioavailability.
F838,Take separate from antacids. Separate the administration of pazopanib and antacids by several hours.
F839,Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of midostaurin and may reduce its serum concentration.
F840,"Exercise caution with grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of midostaurin, which may increase its serum concentration."
F841,"Take with food. Taking midostaurin with food increases the AUC, but it also prolongs the Tmax and reduces Cmax."
F842,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of panobinostat."
F843,"Exercise caution with St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of panobinostat."
F844,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of bosutinib."
F845,"Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of bosutinib."
F846,Take with food. Coadministration with a high-fat meal may increase the AUC of bosutinib.
F847,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of axitinib."
F848,"Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of axitinib."
F849,Avoid grapefruit products. Grapefruit is a moderate to strong inhibitor of CYP3A4. Strong CYP3A4 inhibitors are contraindicated with isavuconazonium.
F850,Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of isavuconazonium and may reduce its serum concentration. Co-administration of isavuconazonium with St. John's Wort is contraindicated.
F851,Take with or without food. The bioavailability of isavuconazonium is not significantly impacted by food.
F852,"Take with or without food. High-fat meals increase drug absorption, but not to a clinically significant extent."
F853,Administer calcium supplement. Calcium supplements should be used as necessary to prevent hypocalcemia.
F854,Administer vitamin supplements. Vitamin D should be administered as necessary to complement calcium in preventing hypocalcemia.
F855,Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the sedative effects of safinamide.
F856,"Avoid St. John's Wort. This herb may increase the risk of serotonin syndrome, and therefore, concomitant use is contraindicated."
F857,"Avoid tyramine-containing foods and supplements. Avoid foods containing high amounts of tyramine (>150mg) as these foods may cause a significant elevation in blood pressure. Tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages."
F858,Avoid St. John's Wort. This herb induces PGP which may reduce the serum levels of dabigatran.
F859,Take with food. This may reduce or prevent gastrointestinal upset.
F860,Avoid alcohol. Alcohol inhibits the metabolism of dexmethylphenidate.
F861,"Exercise caution with grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of fosaprepitant, which may increase its serum concentration."
F862,Exercise caution with St. John's Wort. This herb induces the CYP3A4 metabolism of fosaprepitant and may reduce its serum concentration.
F863,Avoid foods rich in citrate. Citrate may increase the absorption of aluminum and has the potential to cause toxicity.
F864,"Take with or without food. Food increases the absorption of calcium carbonate, which may be advantageous in its use as a calcium supplement."
F865,Avoid excessive or chronic alcohol consumption. Ingesting alcohol increases the risk of bleeding.
F866,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. These may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
F867,Take with or without food. Oral betaine powder should be mixed with food or a beverage and then consumed.
F868,"Avoid grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of cabazitaxel, which may increase its serum concentration."
F869,Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of cabazitaxel and may reduce its serum concentration.
F870,Take before a meal. Take carglumic acid right before eating.
F871,Take with plain water. Carglumic acid tablets are dispersed in water to produce an oral suspension and should not be swallowed whole.
F872,Take on an empty stomach. Take methylnaltrexone at least 30 minutes before breakfast.
F873,Take with food. The effect of food on phenylbutyrate’s absorption is unknown.
F874,Take at the same time every day. Take each dose at the same time every day.
F875,Take on an empty stomach. Take tiopronin at least 1 hour before or 2 hours after eating food.
F876,Avoid concomitant mineral supplements. Administer CUVRIOR at least 1 hour before or 2 hours after administration of other mineral supplements.
F877,Take at least 2 hours before or after iron supplements. Iron and triethylenetetramine inhibit each others absorption.
F878,"Take on an empty stomach. Take CUVRIOR one hour before or two hours after eating a meal or at least one hour of separation from other drugs, milk, or food."
F879,Take with or without food. Food has no clinically significant effects on drug exposure.
F880,"Take with food. Taking sulthiame with food, may reduce gastrointestinal upset."
F881,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum levels of R-warfarin."
F882,"Exercise caution with St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum levels of R-warfarin."
F883,Avoid alcohol. The effects of alcohol could be made worse while taking Lurasidone.
F884,Avoid grapefruit products. Grapefruit and grapefruit juice may affect the amount of Lurasidone in your blood.
F885,Take with food. The manufacturer recommends co-administration with at least 350 calories.
F886,"Avoid grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of ticagrelor, which may increase its serum concentration."
F887,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Herbs with antiplatelet activity may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
F888,Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of ticagrelor and may reduce its serum concentration.
F889,Take with a high fat meal. Co-administration with a high fat meal increases exposure to ivacaftor.
F890,Take with or without food. Food does not affect absorption. The Cmax and AUC of vismodegib at steady state are not affected by food.
F891,Take with or without food. Food does not affect oral absorption or bioavailability.
F892,Avoid St. John's Wort. St.John's Wort will decrease levels of this medication.
F893,Take with food. Absorption is increased by 40% if taken with food.
F894,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum levels of crizotinib."
F895,"Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce serum levels of crizotinib."
F896,"Take with or without food. High-fat food decreases drug absorption, but not to a clinically significant extent."
F897,"Take with or without food. High-fat food increases drug absorption, but not to a clinically significant extent."
F898,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of monomethyl auristatin E (MMAE), the antitumor component of brentuximab vedotin."
F899,"Exercise caution with St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of monomethyl auristatin E (MMAE), the antitumor component of brentuximab vedotin."
F900,"Take with or without food. Food decreases drug exposure, but not to a clinically significant extent."
F901,Take with or without food. High-fat meal decreases the Cmax of fidaxomicin and its metabolite in a clinically insignificant way.
F902,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase levels of cabozantinib."
F903,"Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce serum levels of cabozantinib."
F904,Take on an empty stomach. Separate the administration of cabozantinib from food by at least 1 hour before or 2 hours after eating.
F905,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of ruxolitinib."
F906,"Exercise caution with St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum levels of ruxolitinib."
F907,"Take with or without food. A high-fat, high-calorie meal had negligible effects on the pharmacokinetics of ruxolitinib."
F908,"Do not take with or immediately after a high-fat meal. Taking vemurafenib with a high-fat meal may increase the AUC and Cmax by approximately 5 fold and 2.5 fold, respectively."
F909,"Exercise caution with grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of vemurafenib, which may increase its serum concentration."
F910,Exercise caution with St. John's Wort. This herb induces the CYP3A4 metabolism of vemurafenib and may reduce its serum concentration.
F911,"Limit caffeine intake. Vemurafenib inhibits CYP1A2, which may increase the serum levels and adverse effects of caffeine."
F912,Avoid excessive or chronic alcohol consumption. Chronic or binge drinking can increase the risk of serious side effects.
F913,"Take with or without food. High fat meals reduce the maximum concentration and increase the AUC, but not to a clinically significant extent."
F914,"Take on an empty stomach. Take linaclotide at least 30 minutes prior to a meal, at approximately the same time each day. A high fat meal may cause looser stools and a higher stool frequency."
F915,"Take with food. While adults may take mirabegron with or without food, prescribing information recommends that children always co-administer mirabegron with food."
F916,Avoid grapefruit products. Dose adjustments are required when administering CYP3A4 inhibitors (grapefruit) and CYP2C19 inhibitors with tofacitinib.
F917,Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of tofacitinib and may reduce its serum concentration.
F918,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum levels of regorafenib."
F919,"Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce serum levels of regorafenib."
F920,Take after a meal. Should be taken following a low-fat meal containing less than 600 calories and less than 30% fat.
F921,Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of enzalutamide and may reduce its serum concentration.
F922,Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of ponatinib and may reduce its serum concentration.
F923,"Exercise caution with grapefruit products. If coadministration of ponatinib and grapefruit is necessary, reduce the dose of ponatinib."
F924,Take with food. Food significantly increases the oral bioavailability.
F925,Avoid alcohol. Excess alcohol intake may promote ketoacidosis.
F926,Take before a meal. It is recommended to take this drug before the first meal of the day.
F927,"Take with or without food. The incidence of flushing may be reduced by the administration of dimethyl fumarate with food; however, the product label states that it may be taken with or without food."
F928,"Take with or without food. Administration of pomalidomide with food reduces the AUC and Cmax by 8% and 27%, respectively, and delays Tmax by two and a half hours."
F929,"Take separate from meals. Take at least 1 hour before or at least 2 hours after a meal. A high-fat, high-calorie meal decreases trametinib AUC and Cmax, and delays Tmax."
F930,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum levels of dabrafenib."
F931,"Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce serum levels of dabrafenib."
F932,Do not take with or immediately after a high-fat meal. Dabrafenib's bioavailability is reduced when taken with a high-fat meal.
F933,Take on an empty stomach. Take dabrafenib at least one hour before or two hours after a meal.
F934,"Avoid alcohol. Ingesting alcohol may compromise the extended-release dosage form of levomilnacipran, causing an accelerated release of the drug and increasing its serum concentration."
F935,Avoid herbs and supplements with anticoagulant/antiplatelet activity. Taking herbs with antiplatelet or anticoagulant activity may increase the risk of bleeding.
F936,Exercise caution with grapefruit products. Grapefruit is a moderate to strong CYP3A4 inhibitor. Do not exceed a maximum levomilnacipran dose of 80mg daily when taking strong CYP3A4 inhibitors.
F937,Exercise caution with St. John's Wort. Administering levomilnacipran with St. John's Wort may increase the risk of serotonin syndrome.
F938,Take with or without food. Food does not affect drug absorption and exposure to a clinically significant extent.
F939,Avoid multivalent ions. Cations should be separated from dolutegravir administration by 2 hours before and 6 hours after cation administration. Cations can be administered with dolutegravir if given with food.
F940,"Take with or without food. Food, particularly high-fat meals, may increase the AUC, Cmax, and Tmax of dolutegravir."
F941,Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of riociguat and may reduce its serum concentration.
F942,Take separate from antacids. Take at least 1 hour before or after antacids. Aluminum or magnesium hydroxide antacids may reduce riociguat absorption.
F943,Avoid excessive or chronic alcohol consumption. Alcohol may increase the drowsiness caused by chlorcyclizine.
F944,Avoid alcohol. Consuming alcohol increases the risk of gastrointestinal irritation.
F945,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Herbs with anticoagulant effects may increase the risk of gastrointestinal bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
F946,Take after a meal. Food reduces gastric irritation.
F947,Avoid milk and dairy products. Take at least 1 hour before or after antacids and milk.
F948,Take separate from antacids. Take at least 1 hour before or after antacids and milk.
F949,Do not take with or immediately after a high-fat meal. The absorption of aliskiren is substantially reduced by taking it with high-fat meals.
F950,Avoid St. John's Wort. This herb induces PGP and may reduce the serum concentration of ledipasvir.
F951,Take separate from antacids. Take at least 4 hours before or after antacids.
F952,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive antiplatelet activity may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
F953,Avoid St. John's Wort. This herb induces the CYP3A metabolism of vorapaxar and may reduce its serum concentration.
F954,"Exercise caution with grapefruit products. Coadministration of vorapaxar with moderate CYP3A4 inhibitors does not require intervention, but coadministration with strong inhibitors should be avoided."
F955,Drink plenty of fluids. Preventing dehydration is important to prevent kidney injury.
F956,Avoid grapefruit products. Grapefruit products are strong CYP3A inhibitors and may increase the concentration of eliglustat.
F957,Avoid St. John's Wort. This herb induces the CYP3A metabolism of eliglustat and may reduce its serum concentration.
F958,Take with or without food. Administration of eliglustat with a high-fat meal resulted in a 15% decrease in C<sub>max</sub> (not clinically significant) and no change in AUC.
F959,"Avoid grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of netupitant, which may increase its serum concentration."
F960,Avoid St. John's Wort. This herb induces the CYP3A metabolism of netupitant and may reduce its serum concentration.
F961,Take on an empty stomach. High-fat food increases drug absorption. Take naloxegol at least 1 hour prior to the first meal of the day or 2 hours after the meal. 
F962,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of ibrutinib."
F963,Avoid St. John's Wort. This herb induces CYP3A4 and may reduce the serum concentration of ibrutinib.
F964,"Avoid grapefruit products. Grapefruit inhibits the CYP3A metabolism of idelalisib, which may increase its serum concentration."
F965,Avoid St. John's Wort. This herb induces the CYP3A metabolism of idelalisib and may reduce its serum concentration.
F966,Take with or without food. Taking idelalisib with a high-fat meal may increase the AUC by 1.4 fold.
F967,Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of sedation.
F968,"Avoid grapefruit products. Grapefruit inhibits the CYP3A metabolism of cannabidiol, which may increase its serum concentration. Cannabidiol dose reduction may be necessary if used together."
F969,Avoid St. John's Wort. This herb induces the CYP3A metabolism of cannabidiol and may reduce its serum concentration. The dose of cannabidiol may need to be increased if used together.
F970,Take with food. Taking cannabidiol with food (particularly high-fat food) increases its bioavailability. The absorption of cannabidiol is more consistent when meal macronutrients remain the same.
F971,"Avoid grapefruit products. Grapefruit inhibits the CYP3A metabolism of ceritinib, which may increase its serum concentration."
F972,Avoid St. John's Wort. This herb induces the CYP3A metabolism of ceritinib and may reduce its serum concentration.
F973,"Take with food. Food increases the bioavailability of ceritinib. Taking ceritinib in a fasted state increases the risk of adverse gastrointestinal effects like nausea, vomiting, and abdominal pain."
F974,Avoid St. John's Wort. St. John's Wort is contraindicated as it induces the CYP3A metabolism of cobicistat and may reduce its serum concentration.
F975,"Avoid St. John's Wort. When administered with vortioxetine, this herb may increase the risk of serotonin syndrome."
F976,Take with food. Take during a meal.
F977,Take with plain water. Take with a glass of water.
F978,"Avoid St. John's Wort. St. John's Wort induces CYP3A4, increasing the metabolism of estrogens and progesterone and therefore reducing the efficacy of tibolone."
F979,"Avoid grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of tasimelteon, which may increase its serum concentration. Alternatively, the dose of tasimelteon may need to be modified."
F980,"Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of tasimelteon and may reduce its serum concentration. Alternatively, the dose of tasimelteon may need to be modified."
F981,Take on an empty stomach. The Cmax of tasimelteon is reduced when taken with food.
F982,"Avoid alcohol. Alcohol can potentiate central nervous system (CNS) depression (respiratory depression, hypotension, profound sedation, syncope, and death) caused by sodium oxybate."
F983,Take separate from meals. Take the first nightly dose of sodium oxybate at least two hours after eating.
F984,"Avoid grapefruit products. Grapefruit inhibits the CYP3A metabolism of palbociclib, which may increase its serum concentration."
F985,Avoid St. John's Wort. This herb induces the CYP3A metabolism of palbociclib and may reduce its serum concentration.
F986,Take at the same time every day. This applies to both palbociclib capsules and tablets.
F987,"Take with food. Palbociclib capsules should be taken with food. Some subjects have reduced bioavailability of palbociclib when in a fasted state, therefore taking with food makes the bioavailability more consistent."
F988,Take with or without food. Palbociclib tablets may be taken with or without food.
F989,"Avoid grapefruit products. Grapefruit inhibits the CYP3A metabolism of olaparib, which may increase its serum concentration."
F990,Avoid St. John's Wort. This herb induces the CYP3A metabolism of olaparib and may reduce its serum concentration.
F991,Take with or without food. Food does not significantly alter the extent of olaparib absorption.
F992,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Additive anticoagulant activity may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
F993,"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice). Lenvatinib may cause hypertension as an adverse effect; therefore, there may be additive blood pressure elevation when using hypertensive herbs."
F994,Take with food. Co-administration with food improves absorption.
F995,Take with food. This helps prevent pinaverium from irritating the esophagus.
F996,"Avoid excessive or chronic alcohol consumption. Alcohol may increase the risk of dizziness, thereby reducing the tolerability of quinagolide."
F997,Take with a light meal or snack. Food reduces gastric irritation.
F998,"Avoid St. John's Wort. This herb induces the CYP3A metabolism of elvitegravir. Therefore, it may reduce the serum concentration of elvitegravir and its effectiveness."
F999,"Avoid grapefruit products. Grapefruit inhibits the CYP3A metabolism of daclatasvir, which may increase its serum concentration. Dose changes may be necessary."
F1000,Avoid St. John's Wort. This herb induces the CYP3A metabolism of daclatasvir and may reduce its serum concentration. Co-administration of daclatasvir with St. John's Wort is contraindicated.
F1001,Take with or without food. Daclatasvir AUC and Cmax are slightly reduced when administered with food.
F1002,Take after a meal. This may reduce gastrointestinal irritation.
F1003,Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of sedation and somnolence that can be caused by stiripentol.
F1004,Avoid milk and dairy products. These products may interfere with the absorption of stiripentol.
F1005,Limit caffeine intake. Stiripentol may attenuate CYP1A2-mediated metabolism of caffeine.
F1006,Take with a full glass of water. Oral capsules should be swallowed whole with a glass of water during a meal and oral suspension should be mixed in a glass of water and should be taken immediately after mixing during a meal.
F1007,Take with food. Stiripentol degrades rapidly in an acidic environment.
F1008,"Avoid grapefruit products. Grapefruit inhibits the CYP3A metabolism of dienogest, which may increase its serum concentration."
F1009,Avoid St. John's Wort. This herb induces the CYP3A metabolism of dienogest and may reduce its serum concentration.
F1010,Take with food. Take potassium citrate within 30 minutes of eating to limit gastrointestinal irritation.
F1011,Avoid St. John's Wort. This herb induces the CYP3A metabolism of brexpiprazole and may reduce its serum concentration. The dose of Brexpiprazole should be doubled if administered with St. John's wort.
F1012,Take with or without food. Food does not significantly affect brexpiprazole exposure.
F1013,Administer vitamin supplements. Niacin (from food or supplements) may increase the absorption of chromium.
F1014,Take with foods containing vitamin C. Vitamin C may increase the oral absorption of chromium/chromic chloride.
F1015,Take on an empty stomach. Do not eat the meal that occurs before the administration of iothalamic acid for examination.
F1016,Take on an empty stomach. Administer Technetium Tc-99m mebrofenin at least 4 hours after food to avoid false positives caused by food stimulating emptying of the gallbladder.
F1017,Drink plenty of fluids. Void urine as frequently as possible after the examination to minimize excess radiation of the bladder.
F1018,"Exercise caution with grapefruit products. Grapefruit inhibits the CYP3A metabolism of sonidegib, which may increase its serum concentration."
F1019,"Exercise caution with St. John's Wort. This herb induces the CYP3A metabolism of sonidegib, which may reduce its serum concentration."
F1020,Take on an empty stomach. Take sonidegib at least 1 hour before or 2 hours after eating.
F1021,Take with a full glass of water. Take with at least 4 ounces of water.
F1022,Take with or without food. Mix the uridine triacetate granules with soft food and consume within 30 minutes of mixing.
F1023,Take with food. Take with meals to maximize phosphate binding capacity and reduce phosphate absorption.
F1024,Take on an empty stomach. This diagnostic agent should be administered to fasted patients (ideally at least 4 hours post-intake).
